DataLength;Bubble sort steps;Bubble sort memory;Quick sort steps;Quick sort memory;Merge sort steps;Merge sort memory;
224;78848;12;2030;2944;3967;10608;
225;71924;12;2016;2928;3987;10660;
226;72137;12;1884;3024;4007;10712;
227;78935;12;2018;3088;4027;10764;
228;76230;12;2137;3040;4047;10816;
229;77050;12;1860;3008;4067;10868;
230;80935;12;2016;3152;4087;10920;
231;83953;12;2090;3072;4107;10972;
232;81996;12;2381;3056;4127;11024;
233;84784;12;2237;3120;4147;11076;
234;81557;12;2013;3200;4167;11128;
235;80467;12;2039;3136;4187;11180;
236;82930;12;2235;3104;4207;11232;
237;85150;12;1956;3184;4227;11284;
238;83115;12;2114;3216;4247;11336;
239;90413;12;2356;3152;4267;11388;
240;88076;12;2278;3264;4287;11440;
241;82252;12;2207;3280;4307;11492;
242;86353;12;2094;3200;4327;11544;
243;86599;12;2029;3040;4347;11596;
244;89170;12;2325;3152;4367;11648;
245;92042;12;2024;3200;4387;11700;
246;95015;12;2365;3296;4407;11752;
247;91869;12;2211;3264;4427;11804;
248;89844;12;2232;3248;4447;11856;
249;94536;12;2142;3408;4467;11908;
250;93801;12;2221;3280;4487;11960;
251;95859;12;2031;3136;4507;12012;
252;89930;12;2298;3344;4527;12064;
253;89598;12;2517;3360;4547;12116;
254;93807;12;2237;3440;4567;12168;
255;97589;12;2370;3360;4587;12220;
256;95896;12;2453;3312;4607;12272;
257;98704;12;2167;3360;4629;12328;
258;96525;12;2359;3344;4651;12384;
259;94983;12;2448;3360;4673;12440;
260;101274;12;2205;3360;4695;12496;
261;97250;12;2645;3472;4717;12552;
262;102319;12;2269;3536;4739;12608;
263;102373;12;2349;3376;4761;12664;
264;108272;12;2557;3456;4783;12720;
265;110960;12;2246;3312;4805;12776;
266;110665;12;2451;3360;4827;12832;
267;108511;12;2275;3664;4849;12888;
268;107454;12;2371;3552;4871;12944;
269;107522;12;2323;3568;4893;13000;
270;103447;12;2733;3536;4915;13056;
271;109189;12;2624;3648;4937;13112;
272;110500;12;2377;3568;4959;13168;
273;109272;12;2338;3584;4981;13224;
274;110249;12;2455;3632;5003;13280;
275;111043;12;2619;3504;5025;13336;
276;115874;12;2673;3680;5047;13392;
277;112850;12;2401;3536;5069;13448;
278;109767;12;2448;3824;5091;13504;
279;116153;12;2416;3648;5113;13560;
280;113004;12;2550;3600;5135;13616;
281;114068;12;2527;3568;5157;13672;
282;125653;12;2425;3712;5179;13728;
283;116787;12;2378;3856;5201;13784;
284;122682;12;2480;3728;5223;13840;
285;121618;12;2414;3696;5245;13896;
286;117403;12;2377;3728;5267;13952;
287;128373;12;2599;3872;5289;14008;
288;119924;12;2516;3792;5311;14064;
289;126216;12;2757;3872;5333;14120;
290;129805;12;2785;3792;5355;14176;
291;129131;12;2833;3776;5377;14232;
292;126010;12;2719;3728;5399;14288;
293;129002;12;2636;3808;5421;14344;
294;127967;12;2578;4048;5443;14400;
295;124049;12;2894;3872;5465;14456;
296;130792;12;2581;3872;5487;14512;
297;130860;12;2583;3776;5509;14568;
298;131557;12;2893;3744;5531;14624;
299;134395;12;2896;3904;5553;14680;
300;135414;12;2690;3888;5575;14736;
301;129414;12;2712;3984;5597;14792;
302;139367;12;2624;3840;5619;14848;
303;135721;12;2743;4000;5641;14904;
304;134456;12;2932;4128;5663;14960;
305;141412;12;3253;4000;5685;15016;
306;134161;12;2784;4032;5707;15072;
307;143387;12;2682;3888;5729;15128;
308;138110;12;2747;3888;5751;15184;
309;144030;12;2648;3904;5773;15240;
310;147519;12;2842;4192;5795;15296;
311;137009;12;2716;4192;5817;15352;
312;141420;12;2709;4176;5839;15408;
313;148252;12;3120;4176;5861;15464;
314;139609;12;2931;4000;5883;15520;
315;144507;12;3307;4064;5905;15576;
316;154234;12;2782;4112;5927;15632;
317;150026;12;2662;4064;5949;15688;
318;150103;12;3270;4064;5971;15744;
319;145997;12;2802;4080;5993;15800;
320;159852;12;2852;4320;6015;15856;
321;156232;12;3012;4096;6037;15912;
